Codename,Title,Actively Bug-Fixed by,Actively Maintained by,Notes,Non-bundled addon,Testing automation
composr_mobile_sdk_notifications,Composr Mobile SDK Android and iOS notifications handling,,,,Yes,
cloudinary,Cloudinary integration,,,Not regularly tested. Could potentially break due to third-party changes.,Yes,sync_tests/_api_cloudinary automated test
aws_ses,AWS SES notifications,,,Not regularly tested. Could potentially break due to third-party changes.,Yes,async_tests/aws_ses automated test
youtube,YouTube media,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
theme_upgrader,Theme Upgrader,,,There is code to upgrade themes built into the upgrader but it manually needs writing out for between-version upgrades.,No,
theme_wizard,Theme Wizard,Composr Core Development Team,Composr Core Development Team,It is easy for the Theme Wizard to break if not tested after CSS changes.,No,
theme_wizard_extreme_seeds,Theme Wizard: Extreme seeds,Composr Core Development Team,,Using extremely bright seeds on a light theme or extremely dark seeds on a dark theme may result in elements which are hard to see.,No,
dark_mode,Theme Wizard: Dark themes,Composr Core Development Team,Composr Core Development Team,It is easy for dark theme support to break if not tested after any CSS changes.,No,
gravatar,Gravatar,Composr Core Development Team,,Not regularly tested. Could potentially break due to third-party changes.,No,
email_integration,E-mail integration,Composr Core Development Team,,Not regularly tested for all e-mail environments and setups.,No,
http_proxy,HTTP proxy support,Composr Core Development Team,,Not regularly tested due to needing a testing platform.,No,
ratings_structure,Ratings structure,,,Not regularly tested. Only available via custom programming / the custom_ratings addon.,Yes,
ffmpeg_thumbs,FFMPEG thumbnail generation,,,Not regularly tested. Could potentially break due to third-party changes.,No,
long_google_cookies,full Google Analytics cookies,Composr Core Development Team,Composr Core Development Team,Not regularly tested. Could potentially break due to third-party changes.,No,
karma,Karma non-bundled addon,"PDStig, LLC","PDStig, LLC",Not regularly tested due to needing a testing platform.,Yes,
early_access,Early access non-bundled addon,,,Not regularly tested. Needs a sponsor for regular maintenance.,Yes,
emoticons,Emoticons,Composr Core Development Team,Composr Core Development Team,Emoticons can appear within text if their codenames exist within text. Spell check might warn of misspelled words in emoticon codenames when saving a page with emoticons on it.,No,
achievements,Achievements non-bundled addon,Composr Core Development Team,,Not regularly tested due to needing a testing platform. Needs a sponsor for regular maintenance.,Yes,
php_imap2,PHP IMAP2,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,_protocol_imap
php_isocodes,PHP ISO Codes,Composr Core Development Team,Composr Core Development Team,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,
